pk,jsondata,contribution_pk,contributor_pk,ord,primary,version
1,,75,4,1,t,1
2,,31,5,1,t,1
3,,11,6,1,t,1
4,,54,8,1,t,1
5,,40,10,1,t,1
6,,29,11,1,t,1
7,,5,12,1,t,1
8,,57,13,1,t,1
9,,9,14,1,t,1
10,,17,15,1,t,1
11,,8,16,1,t,1
12,,49,17,1,t,1
13,,15,18,1,t,1
14,,69,19,1,t,1
15,,74,20,1,t,1
16,,12,21,1,t,1
17,,35,22,1,t,1
18,,33,25,1,t,1
19,,16,24,1,t,1
20,,13,27,1,t,1
21,,47,29,1,t,1
22,,55,3,1,t,1
23,,63,34,1,t,1
24,,61,36,1,t,1
25,,23,37,1,t,1
26,,56,38,1,t,1
27,,4,39,1,t,1
28,,58,40,1,t,1
29,,6,41,1,t,1
30,,53,43,1,t,1
31,,52,44,1,t,1
32,,46,45,1,t,1
33,,48,46,1,t,1
34,,25,47,1,t,1
35,,19,48,1,t,1
36,,59,51,1,t,1
37,,7,52,1,t,1
38,,44,54,1,t,1
39,,66,55,1,t,1
40,,26,59,1,t,1
41,,64,75,1,t,1
42,,64,73,2,t,1
43,,21,2,2,t,1
44,,21,32,1,t,1
45,,67,67,1,t,1
46,,55,30,2,t,1
47,,10,6,1,t,1
48,,42,7,1,t,1
49,,39,61,1,t,1
50,,50,74,1,t,1
51,,51,74,1,t,1
52,,14,68,1,t,1
53,,33,26,2,t,1
54,,33,23,3,t,1
55,,53,28,2,t,1
56,,28,29,1,t,1
57,,30,31,1,t,1
58,,51,33,2,t,1
59,,36,35,1,t,1
60,,43,35,1,t,1
61,,72,62,1,t,1
62,,60,71,1,t,1
63,,24,42,1,t,1
64,,73,72,1,t,1
65,,2,60,1,t,1
66,,2,76,2,t,1
67,,38,70,1,t,1
68,,56,50,2,t,1
69,,70,53,1,t,1
70,,22,56,1,t,1
71,,22,53,2,t,1
72,,41,63,1,t,1
73,,32,65,1,t,1
74,,5,64,2,t,1
75,,1,58,1,t,1
76,,76,66,1,t,1
77,,3,57,2,t,1
78,,62,69,1,t,1
79,,65,77,1,t,1
80,,29,78,2,t,1
81,,27,79,1,t,1
82,,68,80,1,t,1
83,,18,81,1,t,1
84,,20,83,1,t,1
85,,20,82,2,t,1
86,,71,84,1,t,1
87,,45,54,1,t,1
88,,37,35,1,t,1
89,,3,49,3,t,1
90,,50,33,2,t,1
91,,1,9,2,t,1
92,,3,1,1,t,1
93,,34,88,1,t,1
94,,34,87,2,t,1
95,,57,86,2,t,1
96,,25,89,2,t,1
